Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1100
Conversion Gain:,256
Coarse Gain:,32
Fine Gain:,1.73
Upper Discriminator:,262
Lower Discriminator:,4
Calibration Coefficients:Elapsed Real Time:,1650.5
Elapsed Live Time:,1226.04
Start Time:,January 13, 2021, 02:25:25
End Time:,January 13, 2021, 02:52:55
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,10899
2,,38477
3,,7953688
4,,15005098
5,,7073981
6,,715560
7,,13473
8,,1193
9,,919
10,,195
11,,151
12,,140
13,,139
14,,133
15,,104
16,,136
17,,173
18,,142
19,,161
20,,158
21,,196
22,,158
23,,209
24,,224
25,,237
26,,249
27,,234
28,,264
29,,264
30,,256
31,,219
32,,187
33,,195
34,,170
35,,194
36,,183
37,,179
38,,161
39,,164
40,,151
41,,166
42,,148
43,,139
44,,170
45,,146
46,,162
47,,160
48,,164
49,,149
50,,139
51,,140
52,,154
53,,141
54,,152
55,,145
56,,156
57,,145
58,,141
59,,173
60,,153
61,,162
62,,177
63,,132
64,,153
65,,155
66,,168
67,,159
68,,138
69,,128
70,,145
71,,157
72,,160
73,,134
74,,117
75,,140
76,,140
77,,125
78,,121
79,,120
80,,131
81,,117
82,,106
83,,112
84,,119
85,,126
86,,114
87,,128
88,,122
89,,112
90,,130
91,,93
92,,127
93,,90
94,,130
95,,132
96,,115
97,,101
98,,105
99,,88
100,,98
101,,107
102,,110
103,,110
104,,129
105,,106
106,,95
107,,103
108,,110
109,,105
110,,97
111,,104
112,,98
113,,81
114,,117
115,,125
116,,97
117,,101
118,,107
119,,86
120,,91
121,,101
122,,105
123,,110
124,,86
125,,101
126,,92
127,,95
128,,85
129,,89
130,,81
131,,82
132,,100
133,,89
134,,88
135,,82
136,,79
137,,68
138,,66
139,,74
140,,92
141,,84
142,,88
143,,78
144,,89
145,,88
146,,69
147,,60
148,,85
149,,76
150,,81
151,,69
152,,72
153,,69
154,,75
155,,53
156,,78
157,,71
158,,64
159,,97
160,,58
161,,82
162,,65
163,,71
164,,77
165,,80
166,,81
167,,84
168,,70
169,,83
170,,76
171,,106
172,,92
173,,79
174,,89
175,,86
176,,91
177,,76
178,,79
179,,83
180,,100
181,,78
182,,88
183,,78
184,,72
185,,76
186,,73
187,,82
188,,98
189,,75
190,,103
191,,81
192,,75
193,,73
194,,73
195,,64
196,,78
197,,87
198,,72
199,,73
200,,66
201,,80
202,,85
203,,78
204,,77
205,,91
206,,86
207,,81
208,,82
209,,83
210,,65
211,,77
212,,77
213,,83
214,,64
215,,49
216,,72
217,,62
218,,61
219,,74
220,,64
221,,65
222,,58
223,,64
224,,52
225,,53
226,,56
227,,49
228,,48
229,,40
230,,44
231,,47
232,,41
233,,38
234,,32
235,,32
236,,40
237,,32
238,,38
239,,19
240,,40
241,,22
242,,36
243,,30
244,,23
245,,28
246,,27
247,,20
248,,30
249,,25
250,,18
251,,36
252,,17
253,,22
254,,26
255,,26
