Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1100
Conversion Gain:,256
Coarse Gain:,32
Fine Gain:,1.73
Upper Discriminator:,262
Lower Discriminator:,4
Calibration Coefficients:Elapsed Real Time:,1917.87
Elapsed Live Time:,1449.62
Start Time:,January 13, 2021, 02:54:01
End Time:,January 13, 2021, 03:25:59
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,8049
2,,52465
3,,13231358
4,,14859873
5,,3147684
6,,113360
7,,2139
8,,1217
9,,1118
10,,455
11,,213
12,,183
13,,176
14,,194
15,,186
16,,179
17,,191
18,,212
19,,212
20,,180
21,,226
22,,254
23,,260
24,,275
25,,312
26,,301
27,,290
28,,301
29,,314
30,,291
31,,289
32,,251
33,,256
34,,224
35,,238
36,,221
37,,218
38,,218
39,,197
40,,201
41,,208
42,,214
43,,226
44,,237
45,,221
46,,242
47,,185
48,,206
49,,182
50,,217
51,,180
52,,204
53,,197
54,,197
55,,206
56,,200
57,,195
58,,193
59,,190
60,,217
61,,215
62,,217
63,,218
64,,201
65,,202
66,,205
67,,205
68,,198
69,,204
70,,193
71,,170
72,,194
73,,176
74,,207
75,,153
76,,198
77,,185
78,,160
79,,181
80,,183
81,,155
82,,168
83,,188
84,,162
85,,162
86,,166
87,,168
88,,146
89,,139
90,,146
91,,155
92,,164
93,,156
94,,130
95,,173
96,,146
97,,142
98,,143
99,,139
100,,139
101,,130
102,,147
103,,155
104,,147
105,,127
106,,147
107,,129
108,,137
109,,128
110,,147
111,,117
112,,130
113,,158
114,,128
115,,134
116,,138
117,,140
118,,127
119,,121
120,,111
121,,144
122,,122
123,,129
124,,143
125,,132
126,,135
127,,105
128,,125
129,,96
130,,96
131,,99
132,,122
133,,122
134,,115
135,,113
136,,95
137,,109
138,,118
139,,111
140,,92
141,,94
142,,118
143,,95
144,,97
145,,105
146,,111
147,,106
148,,103
149,,104
150,,107
151,,105
152,,102
153,,104
154,,107
155,,118
156,,121
157,,128
158,,105
159,,122
160,,111
161,,94
162,,123
163,,125
164,,112
165,,128
166,,130
167,,137
168,,128
169,,134
170,,116
171,,138
172,,119
173,,125
174,,98
175,,142
176,,141
177,,127
178,,125
179,,120
180,,133
181,,120
182,,139
183,,138
184,,129
185,,110
186,,105
187,,116
188,,113
189,,129
190,,126
191,,106
192,,106
193,,110
194,,105
195,,97
196,,96
197,,94
198,,103
199,,99
200,,109
201,,98
202,,104
203,,93
204,,79
205,,107
206,,84
207,,100
208,,70
209,,87
210,,80
211,,93
212,,81
213,,94
214,,107
215,,77
216,,95
217,,85
218,,82
219,,61
220,,72
221,,63
222,,64
223,,75
224,,68
225,,68
226,,58
227,,53
228,,47
229,,54
230,,49
231,,52
232,,41
233,,49
234,,39
235,,51
236,,30
237,,50
238,,47
239,,44
240,,47
241,,29
242,,33
243,,50
244,,44
245,,35
246,,32
247,,30
248,,26
249,,27
250,,30
251,,29
252,,27
253,,32
254,,26
255,,26
